substrate OuterVoltage,gate InnerVoltage,drain InnerVoltage,drain eCurrent
0.0,1.8,0.09,6.10837913495179e-05
0.0,1.8,0.18,0.000112815938652155
0.0,1.8,0.27,0.00015575650451434
0.0,1.8,0.36,0.000190643438007876
0.0,1.8,0.45,0.000218250723143507
0.0,1.8,0.54,0.00023934648566685
0.0,1.8,0.63,0.000254687079049479
0.0,1.8,0.72,0.000265060257644016
0.0,1.8,0.81,0.000271529365163456
0.0,1.8,0.9,0.000275604218065684
0.0,1.8,0.99,0.000278393004532395
0.0,1.8,1.08,0.000280416039520977
0.0,1.8,1.17,0.000281985393667563
0.0,1.8,1.26,0.00028328032637565
0.0,1.8,1.35,0.000284398964234669
0.0,1.8,1.44,0.000285397548194514
0.0,1.8,1.53,0.000286303080166121
0.0,1.8,1.62,0.000287133225437041
0.0,1.8,1.71,0.000287906486152949
0.0,1.8,1.8,0.000288631103469201
