substrate OuterVoltage,gate InnerVoltage,drain InnerVoltage,drain eCurrent
0.0,0.9,0.09,3.18912557844444e-06
0.0,0.9,0.18,4.06004459984522e-06
0.0,0.9,0.27,4.14125998325295e-06
0.0,0.9,0.36,4.15384362182236e-06
0.0,0.9,0.45,4.16288610311208e-06
0.0,0.9,0.54,4.17057968322496e-06
0.0,0.9,0.63,4.17740295054102e-06
0.0,0.9,0.72,4.18367678474352e-06
0.0,0.9,0.81,4.18961238666024e-06
0.0,0.9,0.9,4.19528729891038e-06
0.0,0.9,0.99,4.20073495417406e-06
0.0,0.9,1.08,4.20597323965573e-06
0.0,0.9,1.17,4.21099550499308e-06
0.0,0.9,1.26,4.21577498765861e-06
0.0,0.9,1.35,4.22029668475111e-06
0.0,0.9,1.44,4.22458870085632e-06
0.0,0.9,1.53,4.22870963288237e-06
0.0,0.9,1.62,4.2327167601388e-06
0.0,0.9,1.71,4.2366456301712e-06
0.0,0.9,1.8,4.24051121928505e-06
