substrate OuterVoltage,gate InnerVoltage,drain InnerVoltage,drain eCurrent
0.0,0.0,0.09,4.51292120007164e-08
0.0,0.0,0.18,1.10879152321212e-07
0.0,0.0,0.27,2.49193053903525e-07
0.0,0.0,0.36,5.16930136481541e-07
0.0,0.0,0.45,9.89676100020326e-07
0.0,0.0,0.54,1.75747323949369e-06
0.0,0.0,0.63,2.90446019866548e-06
0.0,0.0,0.72,4.48376802491415e-06
0.0,0.0,0.81,6.51564880077339e-06
0.0,0.0,0.9,9.00673166152348e-06
0.0,0.0,0.99,1.1953175007021e-05
0.0,0.0,1.08,1.53266458556914e-05
0.0,0.0,1.17,1.90799772626526e-05
0.0,0.0,1.26,2.31749203243549e-05
0.0,0.0,1.35,2.75922908943486e-05
0.0,0.0,1.44,3.23131703037308e-05
0.0,0.0,1.53,3.73100132218262e-05
0.0,0.0,1.62,4.25482627017505e-05
0.0,0.0,1.71,4.79919843718265e-05
0.0,0.0,1.8,5.36047800154764e-05
