substrate OuterVoltage,gate InnerVoltage,drain InnerVoltage,drain eCurrent
-1.8,1.8,0.09,0.000183820595294175
-1.8,1.8,0.18,0.000340739858380399
-1.8,1.8,0.27,0.000470789016383482
-1.8,1.8,0.36,0.000575391656784483
-1.8,1.8,0.45,0.000656888680002563
-1.8,1.8,0.54,0.000718404299505893
-1.8,1.8,0.63,0.000763689891820751
-1.8,1.8,0.72,0.000796836475845627
-1.8,1.8,0.81,0.000821621519165113
-1.8,1.8,0.9,0.000840982110773233
-1.8,1.8,0.99,0.00085682463875795
-1.8,1.8,1.08,0.000870327441569755
-1.8,1.8,1.17,0.00088221823128412
-1.8,1.8,1.26,0.000892981494517332
-1.8,1.8,1.35,0.000902863736734913
-1.8,1.8,1.44,0.000912106963159254
-1.8,1.8,1.53,0.000920896801385083
-1.8,1.8,1.62,0.000929388929877639
-1.8,1.8,1.71,0.000937444863228557
-1.8,1.8,1.8,0.000945315518360288
