substrate OuterVoltage,gate InnerVoltage,drain InnerVoltage,drain eCurrent
-1.8,0.45,0.09,5.36346763679699e-06
-1.8,0.45,0.18,8.11427632250659e-06
-1.8,0.45,0.27,1.1130378476522e-05
-1.8,0.45,0.36,1.44921805505068e-05
-1.8,0.45,0.45,1.82176745879446e-05
-1.8,0.45,0.54,2.22889539665531e-05
-1.8,0.45,0.63,2.65894705104355e-05
-1.8,0.45,0.72,3.10335113366188e-05
-1.8,0.45,0.81,3.55569613680846e-05
-1.8,0.45,0.9,4.0176950633609e-05
-1.8,0.45,0.99,4.49655506702439e-05
-1.8,0.45,1.08,4.99510382372359e-05
-1.8,0.45,1.17,5.51422581763702e-05
-1.8,0.45,1.26,6.05232739023129e-05
-1.8,0.45,1.35,6.60646066626327e-05
-1.8,0.45,1.44,7.17264049274503e-05
-1.8,0.45,1.53,7.74676462407648e-05
-1.8,0.45,1.62,8.32620480255025e-05
-1.8,0.45,1.71,8.91050629230568e-05
-1.8,0.45,1.8,9.50009513066163e-05
