substrate OuterVoltage,gate InnerVoltage,drain InnerVoltage,drain eCurrent
0.0,0.9,0.09,8.00649971823669e-06
0.0,0.9,0.18,1.04122799564137e-05
0.0,0.9,0.27,1.07500891985776e-05
0.0,0.9,0.36,1.08382455080775e-05
0.0,0.9,0.45,1.09028585967876e-05
0.0,0.9,0.54,1.09584498772437e-05
0.0,0.9,0.63,1.10085993027343e-05
0.0,0.9,0.72,1.10548948259525e-05
0.0,0.9,0.81,1.10984866062791e-05
0.0,0.9,0.9,1.11399393711858e-05
0.0,0.9,0.99,1.11794286599452e-05
0.0,0.9,1.08,1.12169741772676e-05
0.0,0.9,1.17,1.12527378816252e-05
0.0,0.9,1.26,1.12870771385919e-05
0.0,0.9,1.35,1.13203510078878e-05
0.0,0.9,1.44,1.13527474644257e-05
0.0,0.9,1.53,1.13843047822738e-05
0.0,0.9,1.62,1.14149702573578e-05
0.0,0.9,1.71,1.14446709361551e-05
0.0,0.9,1.8,1.14734341192539e-05
