substrate OuterVoltage,gate InnerVoltage,drain InnerVoltage,drain eCurrent
0.0,0.45,0.09,1.13254490504134e-05
0.0,0.45,0.18,1.73376817511774e-05
0.0,0.45,0.27,2.3486473965526e-05
0.0,0.45,0.36,2.98563550715006e-05
0.0,0.45,0.45,3.65086673801476e-05
0.0,0.45,0.54,4.34400124455903e-05
0.0,0.45,0.63,5.05675559556963e-05
0.0,0.45,0.72,5.77607501026974e-05
0.0,0.45,0.81,6.48835176288824e-05
0.0,0.45,0.9,7.18997594175869e-05
0.0,0.45,0.99,7.88667495700849e-05
0.0,0.45,1.08,8.58783334081474e-05
0.0,0.45,1.17,9.2987974992257e-05
0.0,0.45,1.26,0.000100196883859888
0.0,0.45,1.35,0.000107487165185807
0.0,0.45,1.44,0.000114827511099532
0.0,0.45,1.53,0.000122174922604536
0.0,0.45,1.62,0.000129499452509864
0.0,0.45,1.71,0.000136800346223203
0.0,0.45,1.8,0.000144087222060069
