substrate OuterVoltage,gate InnerVoltage,drain InnerVoltage,drain eCurrent
-1.8,1.35,0.09,2.15857354109751e-05
-1.8,1.35,0.18,3.6079289805964e-05
-1.8,1.35,0.27,4.45968219505819e-05
-1.8,1.35,0.36,4.86710584214861e-05
-1.8,1.35,0.45,5.02251368410037e-05
-1.8,1.35,0.54,5.07998807636761e-05
-1.8,1.35,0.63,5.11253830331549e-05
-1.8,1.35,0.72,5.13842688752076e-05
-1.8,1.35,0.81,5.16083976029449e-05
-1.8,1.35,0.9,5.18120662108923e-05
-1.8,1.35,0.99,5.20028984900605e-05
-1.8,1.35,1.08,5.21849080876009e-05
-1.8,1.35,1.17,5.23593137287218e-05
-1.8,1.35,1.26,5.25263409240997e-05
-1.8,1.35,1.35,5.26869601108201e-05
-1.8,1.35,1.44,5.28424213118776e-05
-1.8,1.35,1.53,5.29936486254822e-05
-1.8,1.35,1.62,5.31410343816974e-05
-1.8,1.35,1.71,5.32851741681006e-05
-1.8,1.35,1.8,5.34260516296183e-05
