substrate OuterVoltage,gate InnerVoltage,drain InnerVoltage,drain eCurrent
0.0,1.35,0.09,1.66886356672397e-05
0.0,1.35,0.18,2.96348299262257e-05
0.0,1.35,0.27,3.91135653342973e-05
0.0,1.35,0.36,4.54615125157806e-05
0.0,1.35,0.45,4.9118350602198e-05
0.0,1.35,0.54,5.0747961335289e-05
0.0,1.35,0.63,5.12809033803909e-05
0.0,1.35,0.72,5.149608101298e-05
0.0,1.35,0.81,5.16379953308705e-05
0.0,1.35,0.9,5.17489860012169e-05
0.0,1.35,0.99,5.1842048780565e-05
0.0,1.35,1.08,5.19248247302157e-05
0.0,1.35,1.17,5.20012292879368e-05
0.0,1.35,1.26,5.20726935878906e-05
0.0,1.35,1.35,5.21398465758802e-05
0.0,1.35,1.44,5.2203026841711e-05
0.0,1.35,1.53,5.22623613791834e-05
0.0,1.35,1.62,5.23177478009571e-05
0.0,1.35,1.71,5.23693004582838e-05
0.0,1.35,1.8,5.24179130977813e-05
