substrate OuterVoltage,gate InnerVoltage,drain InnerVoltage,drain eCurrent
-1.8,0.0,0.09,3.0956554643771e-19
-1.8,0.0,0.18,1.1620446973819e-17
-1.8,0.0,0.27,8.39582272963859e-19
-1.8,0.0,0.36,3.14695594812653e-19
-1.8,0.0,0.45,3.16196125957605e-19
-1.8,0.0,0.54,3.17653950926661e-19
-1.8,0.0,0.63,3.17988372097169e-19
-1.8,0.0,0.72,3.202111862505e-19
-1.8,0.0,0.81,3.22036748509927e-19
-1.8,0.0,0.9,3.23354622738683e-19
-1.8,0.0,0.99,3.24593982265261e-19
-1.8,0.0,1.08,3.25797859069914e-19
-1.8,0.0,1.17,3.26974770567213e-19
-1.8,0.0,1.26,3.28123233441569e-19
-1.8,0.0,1.35,3.29238826307434e-19
-1.8,0.0,1.44,3.30320927386422e-19
-1.8,0.0,1.53,3.31374214482049e-19
-1.8,0.0,1.62,3.3240626919867e-19
-1.8,0.0,1.71,3.33424191075799e-19
-1.8,0.0,1.8,3.34431921225515e-19
