substrate OuterVoltage,gate InnerVoltage,drain InnerVoltage,drain eCurrent
0.0,1.35,0.09,0.000148537904105793
0.0,1.35,0.18,0.000266906656696634
0.0,1.35,0.27,0.000356434920754796
0.0,1.35,0.36,0.000420735243231603
0.0,1.35,0.45,0.000465094255785542
0.0,1.35,0.54,0.000495596800420402
0.0,1.35,0.63,0.000517730603937741
0.0,1.35,0.72,0.000535189533284444
0.0,1.35,0.81,0.00054994121944717
0.0,1.35,0.9,0.000562890661629201
0.0,1.35,0.99,0.000574495610396049
0.0,1.35,1.08,0.000585154508430819
0.0,1.35,1.17,0.000595287158528865
0.0,1.35,1.26,0.000605077419401835
0.0,1.35,1.35,0.000614599184761224
0.0,1.35,1.44,0.00062388874910013
0.0,1.35,1.53,0.000632951655099588
0.0,1.35,1.62,0.00064178111326877
0.0,1.35,1.71,0.00065033550976221
0.0,1.35,1.8,0.000658655128990693
