substrate OuterVoltage,gate InnerVoltage,drain InnerVoltage,drain eCurrent
-1.8,1.8,0.09,4.67044529000172e-05
-1.8,1.8,0.18,8.54358791214604e-05
-1.8,1.8,0.27,0.00011673521335635
-1.8,1.8,0.36,0.000141296432475558
-1.8,1.8,0.45,0.000159854726718652
-1.8,1.8,0.54,0.000173175949364686
-1.8,1.8,0.63,0.000182085190937621
-1.8,1.8,0.72,0.000187475689876727
-1.8,1.8,0.81,0.000190401740418036
-1.8,1.8,0.9,0.000192123648158138
-1.8,1.8,0.99,0.000193359202497542
-1.8,1.8,1.08,0.000194332083855298
-1.8,1.8,1.17,0.000195151641270668
-1.8,1.8,1.26,0.000195874946857243
-1.8,1.8,1.35,0.000196533457637977
-1.8,1.8,1.44,0.000197145452548272
-1.8,1.8,1.53,0.000197720123760216
-1.8,1.8,1.62,0.000198260519655025
-1.8,1.8,1.71,0.00019877674691385
-1.8,1.8,1.8,0.000199271153194376
