substrate OuterVoltage,gate InnerVoltage,drain InnerVoltage,drain eCurrent
0.0,0.0,0.09,1.20250635486634e-16
0.0,0.0,0.18,1.23946393401272e-16
0.0,0.0,0.27,1.22999112493316e-16
0.0,0.0,0.36,1.23183850911783e-16
0.0,0.0,0.45,1.23445969661864e-16
0.0,0.0,0.54,1.23747627194242e-16
0.0,0.0,0.63,1.24157149035776e-16
0.0,0.0,0.72,1.2455337294481e-16
0.0,0.0,0.81,1.24936664747925e-16
0.0,0.0,0.9,1.25307808366007e-16
0.0,0.0,0.99,1.25669301613246e-16
0.0,0.0,1.08,1.26023910771071e-16
0.0,0.0,1.17,1.26372827008359e-16
0.0,0.0,1.26,1.26715846829502e-16
0.0,0.0,1.35,1.27051782304695e-16
0.0,0.0,1.44,1.2737842636045e-16
0.0,0.0,1.53,1.27692282982193e-16
0.0,0.0,1.62,1.27989043294192e-16
0.0,0.0,1.71,1.28271805101321e-16
0.0,0.0,1.8,1.28541307481384e-16
