substrate OuterVoltage,gate InnerVoltage,drain InnerVoltage,drain eCurrent
0.0,0.0,0.09,4.21675491772719e-17
0.0,0.0,0.18,8.07052898512779e-17
0.0,0.0,0.27,4.28099525034403e-17
0.0,0.0,0.36,4.31130738874184e-17
0.0,0.0,0.45,6.69030622662063e-17
0.0,0.0,0.54,4.32020496981025e-17
0.0,0.0,0.63,4.32457360417831e-17
0.0,0.0,0.72,4.32857646063117e-17
0.0,0.0,0.81,4.33261256930201e-17
0.0,0.0,0.9,4.3363315272429e-17
0.0,0.0,0.99,4.33993352780792e-17
0.0,0.0,1.08,4.34344770319349e-17
0.0,0.0,1.17,4.34688294608622e-17
0.0,0.0,1.26,4.35023795981659e-17
0.0,0.0,1.35,4.3535157990507e-17
0.0,0.0,1.44,4.35672977879832e-17
0.0,0.0,1.53,4.35989659384393e-17
0.0,0.0,1.62,4.36302718145138e-17
0.0,0.0,1.71,4.36612734425052e-17
0.0,0.0,1.8,4.36920008723515e-17
