substrate OuterVoltage,gate InnerVoltage,drain InnerVoltage,drain eCurrent
-1.8,0.9,0.09,9.44881916264455e-08
-1.8,0.9,0.18,9.72661462309492e-08
-1.8,0.9,0.27,9.82612671726132e-08
-1.8,0.9,0.36,9.91742609806049e-08
-1.8,0.9,0.45,1.0001805951302e-07
-1.8,0.9,0.54,1.00817232021576e-07
-1.8,0.9,0.63,1.0158843998396e-07
-1.8,0.9,0.72,1.02338597825128e-07
-1.8,0.9,0.81,1.03068030418855e-07
-1.8,0.9,0.9,1.03776574206881e-07
-1.8,0.9,0.99,1.0446615741694e-07
-1.8,0.9,1.08,1.05140783906056e-07
-1.8,0.9,1.17,1.05804278311888e-07
-1.8,0.9,1.26,1.06458824941388e-07
-1.8,0.9,1.35,1.07105021743946e-07
-1.8,0.9,1.44,1.07742342076289e-07
-1.8,0.9,1.53,1.08369176757385e-07
-1.8,0.9,1.62,1.08983158940482e-07
-1.8,0.9,1.71,1.09583100938285e-07
-1.8,0.9,1.8,1.10169254753133e-07
