substrate OuterVoltage,gate InnerVoltage,drain InnerVoltage,drain eCurrent
0.0,1.8,0.09,0.000189571577634344
0.0,1.8,0.18,0.000351502149045305
0.0,1.8,0.27,0.00048588894467612
0.0,1.8,0.36,0.000594272695713045
0.0,1.8,0.45,0.000679139487543116
0.0,1.8,0.54,0.000743747256503842
0.0,1.8,0.63,0.000791967176726679
0.0,1.8,0.72,0.000827908736712146
0.0,1.8,0.81,0.000855313591448648
0.0,1.8,0.9,0.000877078360077568
0.0,1.8,0.99,0.000895139196018058
0.0,1.8,1.08,0.00091064941007556
0.0,1.8,1.17,0.000924328490300145
0.0,1.8,1.26,0.000936703926831227
0.0,1.8,1.35,0.000948044488347818
0.0,1.8,1.44,0.000958637209728104
0.0,1.8,1.53,0.000968683531609317
0.0,1.8,1.62,0.000978360245830026
0.0,1.8,1.71,0.000987545318591554
0.0,1.8,1.8,0.000996496432841296
