substrate OuterVoltage,gate InnerVoltage,drain InnerVoltage,drain eCurrent
-1.8,1.35,0.09,8.80384311788133e-06
-1.8,1.35,0.18,1.46576221193811e-05
-1.8,1.35,0.27,1.79300449223235e-05
-1.8,1.35,0.36,1.92551222200487e-05
-1.8,1.35,0.45,1.95889955702875e-05
-1.8,1.35,0.54,1.9673935881528e-05
-1.8,1.35,0.63,1.97197201087484e-05
-1.8,1.35,0.72,1.97567548849713e-05
-1.8,1.35,0.81,1.97889194387734e-05
-1.8,1.35,0.9,1.98178681306419e-05
-1.8,1.35,0.99,1.98450161460986e-05
-1.8,1.35,1.08,1.98711951914933e-05
-1.8,1.35,1.17,1.98965665754224e-05
-1.8,1.35,1.26,1.99210871323277e-05
-1.8,1.35,1.35,1.99446676648376e-05
-1.8,1.35,1.44,1.99672271953831e-05
-1.8,1.35,1.53,1.9988762816469e-05
-1.8,1.35,1.62,2.00094777693829e-05
-1.8,1.35,1.71,2.00296541791887e-05
-1.8,1.35,1.8,2.00494599303544e-05
