substrate OuterVoltage,gate InnerVoltage,drain InnerVoltage,drain eCurrent
-1.8,0.0,0.09,4.09958580407126e-19
-1.8,0.0,0.18,-2.46114651529797e-18
-1.8,0.0,0.27,8.79569211603773e-19
-1.8,0.0,0.36,4.13994736154467e-19
-1.8,0.0,0.45,4.15410494447328e-19
-1.8,0.0,0.54,3.8711420935752e-19
-1.8,0.0,0.63,4.18428653950291e-19
-1.8,0.0,0.72,4.20762013634979e-19
-1.8,0.0,0.81,4.21040098625029e-19
-1.8,0.0,0.9,4.22278088741329e-19
-1.8,0.0,0.99,4.23456284263161e-19
-1.8,0.0,1.08,4.24597270974694e-19
-1.8,0.0,1.17,4.25705985513617e-19
-1.8,0.0,1.26,4.26785028654916e-19
-1.8,0.0,1.35,4.27837739267803e-19
-1.8,0.0,1.44,4.28867997554178e-19
-1.8,0.0,1.53,4.29878909981476e-19
-1.8,0.0,1.62,4.30872222810026e-19
-1.8,0.0,1.71,4.31849004246766e-19
-1.8,0.0,1.8,4.32810677429995e-19
