substrate OuterVoltage,gate InnerVoltage,drain InnerVoltage,drain eCurrent
-1.8,0.0,0.09,1.57846137574206e-09
-1.8,0.0,0.18,3.57178206105133e-09
-1.8,0.0,0.27,7.67938209562328e-09
-1.8,0.0,0.36,1.58045621907231e-08
-1.8,0.0,0.45,3.1003125567259e-08
-1.8,0.0,0.54,5.82374520559173e-08
-1.8,0.0,0.63,1.05408701031403e-07
-1.8,0.0,0.72,1.85020568887775e-07
-1.8,0.0,0.81,3.16204834650861e-07
-1.8,0.0,0.9,5.26476365678802e-07
-1.8,0.0,0.99,8.5197973867078e-07
-1.8,0.0,1.08,1.33551547946255e-06
-1.8,0.0,1.17,2.02300897650176e-06
-1.8,0.0,1.26,2.96269545312962e-06
-1.8,0.0,1.35,4.20267546374288e-06
-1.8,0.0,1.44,5.7823602244418e-06
-1.8,0.0,1.53,7.72594446528323e-06
-1.8,0.0,1.62,1.00399181279211e-05
-1.8,0.0,1.71,1.27137945975033e-05
-1.8,0.0,1.8,1.57210113960926e-05
