substrate OuterVoltage,gate InnerVoltage,drain InnerVoltage,drain eCurrent
-1.8,0.45,0.09,3.66558423532349e-15
-1.8,0.45,0.18,3.74582229106349e-15
-1.8,0.45,0.27,2.44450006991845e-15
-1.8,0.45,0.36,6.17415492520683e-15
-1.8,0.45,0.45,3.76365904442018e-15
-1.8,0.45,0.54,3.76921072343339e-15
-1.8,0.45,0.63,3.81229351553851e-15
-1.8,0.45,0.72,3.77954168265352e-15
-1.8,0.45,0.81,3.78436247657418e-15
-1.8,0.45,0.9,3.78910110678654e-15
-1.8,0.45,0.99,3.79357016200675e-15
-1.8,0.45,1.08,3.79805462304042e-15
-1.8,0.45,1.17,3.80247533184891e-15
-1.8,0.45,1.26,3.80683193044109e-15
-1.8,0.45,1.35,3.81112369023256e-15
-1.8,0.45,1.44,3.81534684164724e-15
-1.8,0.45,1.53,3.81949512582874e-15
-1.8,0.45,1.62,3.82356166871475e-15
-1.8,0.45,1.71,3.82754568494321e-15
-1.8,0.45,1.8,3.83145521044837e-15
