substrate OuterVoltage,gate InnerVoltage,drain InnerVoltage,drain eCurrent
-1.8,1.8,0.09,2.12444110370901e-05
-1.8,1.8,0.18,3.91533525545382e-05
-1.8,1.8,0.27,5.38840532693477e-05
-1.8,1.8,0.36,6.56323025989224e-05
-1.8,1.8,0.45,7.46157970990701e-05
-1.8,1.8,0.54,8.10831681009548e-05
-1.8,1.8,0.63,8.5343186385238e-05
-1.8,1.8,0.72,8.7804738979026e-05
-1.8,1.8,0.81,8.89971978042277e-05
-1.8,1.8,0.9,8.95067586296383e-05
-1.8,1.8,0.99,8.97858037902772e-05
-1.8,1.8,1.08,8.99904360953827e-05
-1.8,1.8,1.17,9.0155636513651e-05
-1.8,1.8,1.26,9.02973580242631e-05
-1.8,1.8,1.35,9.04252123055544e-05
-1.8,1.8,1.44,9.05458820459668e-05
-1.8,1.8,1.53,9.06611513412662e-05
-1.8,1.8,1.62,9.07708189911143e-05
-1.8,1.8,1.71,9.08746853422305e-05
-1.8,1.8,1.8,9.09728574368664e-05
