substrate OuterVoltage,gate InnerVoltage,drain InnerVoltage,drain eCurrent
-1.8,0.9,0.09,2.19307470179683e-08
-1.8,0.9,0.18,2.25102962794744e-08
-1.8,0.9,0.27,2.25648252807198e-08
-1.8,0.9,0.36,2.26121202771229e-08
-1.8,0.9,0.45,2.26542930090047e-08
-1.8,0.9,0.54,2.26933669974983e-08
-1.8,0.9,0.63,2.27307484507111e-08
-1.8,0.9,0.72,2.27669258095278e-08
-1.8,0.9,0.81,2.2801930454159e-08
-1.8,0.9,0.9,2.28356860007493e-08
-1.8,0.9,0.99,2.28680948674496e-08
-1.8,0.9,1.08,2.28990250804456e-08
-1.8,0.9,1.17,2.29284929818568e-08
-1.8,0.9,1.26,2.29568741300823e-08
-1.8,0.9,1.35,2.29845762597885e-08
-1.8,0.9,1.44,2.30118013811883e-08
-1.8,0.9,1.53,2.30386202580732e-08
-1.8,0.9,1.62,2.3065051292766e-08
-1.8,0.9,1.71,2.30910932335865e-08
-1.8,0.9,1.8,2.31167335343569e-08
