substrate OuterVoltage,gate InnerVoltage,drain InnerVoltage,drain eCurrent
0.0,1.35,0.09,3.60503955762895e-05
0.0,1.35,0.18,6.35249590434135e-05
0.0,1.35,0.27,8.33005005882641e-05
0.0,1.35,0.36,9.64392816852193e-05
0.0,1.35,0.45,0.000104165666368045
0.0,1.35,0.54,0.00010796968748658
0.0,1.35,0.63,0.00010965778930157
0.0,1.35,0.72,0.000110614702630303
0.0,1.35,0.81,0.000111297111255836
0.0,1.35,0.9,0.000111848604905499
0.0,1.35,0.99,0.000112323041156416
0.0,1.35,1.08,0.000112749944931591
0.0,1.35,1.17,0.000113142156810417
0.0,1.35,1.26,0.000113504582382677
0.0,1.35,1.35,0.000113838228208367
0.0,1.35,1.44,0.000114149626352035
0.0,1.35,1.53,0.0001144427373137
0.0,1.35,1.62,0.000114721443813433
0.0,1.35,1.71,0.00011498849730588
0.0,1.35,1.8,0.000115245142833836
