substrate OuterVoltage,gate InnerVoltage,drain InnerVoltage,drain eCurrent
0.0,0.45,0.09,1.12328445570353e-10
0.0,0.45,0.18,1.14307706678561e-10
0.0,0.45,0.27,1.14962422705808e-10
0.0,0.45,0.36,1.15567647006074e-10
0.0,0.45,0.45,1.16134700374008e-10
0.0,0.45,0.54,1.16672470396437e-10
0.0,0.45,0.63,1.17183241768324e-10
0.0,0.45,0.72,1.17667616523318e-10
0.0,0.45,0.81,1.1812855870668e-10
0.0,0.45,0.9,1.18570694012373e-10
0.0,0.45,0.99,1.189982309553e-10
0.0,0.45,1.08,1.19413838265854e-10
0.0,0.45,1.17,1.19818400049038e-10
0.0,0.45,1.26,1.20211619424125e-10
0.0,0.45,1.35,1.20593763847628e-10
0.0,0.45,1.44,1.20966675087764e-10
0.0,0.45,1.53,1.21331710920392e-10
0.0,0.45,1.62,1.21689359116515e-10
0.0,0.45,1.71,1.22038356170667e-10
0.0,0.45,1.8,1.22376334153906e-10
