substrate OuterVoltage,gate InnerVoltage,drain InnerVoltage,drain eCurrent
-1.8,0.45,0.09,1.55066480763787e-14
-1.8,0.45,0.18,1.65054059307801e-14
-1.8,0.45,0.27,2.55262521549876e-14
-1.8,0.45,0.36,1.67426584707917e-14
-1.8,0.45,0.45,1.68597712714949e-14
-1.8,0.45,0.54,1.69736256881407e-14
-1.8,0.45,0.63,1.70845992334787e-14
-1.8,0.45,0.72,1.71935890925346e-14
-1.8,0.45,0.81,1.73011054256858e-14
-1.8,0.45,0.9,1.74072432824847e-14
-1.8,0.45,0.99,1.75119061197648e-14
-1.8,0.45,1.08,1.76147823003162e-14
-1.8,0.45,1.17,1.771544679687e-14
-1.8,0.45,1.26,1.78137123269391e-14
-1.8,0.45,1.35,1.79097611223098e-14
-1.8,0.45,1.44,1.80036499294282e-14
-1.8,0.45,1.53,1.80949265013284e-14
-1.8,0.45,1.62,1.8183068137401e-14
-1.8,0.45,1.71,1.82685128272621e-14
-1.8,0.45,1.8,1.83525310360801e-14
