substrate OuterVoltage,gate InnerVoltage,drain InnerVoltage,drain eCurrent
0.0,0.45,0.09,3.67259471932639e-11
0.0,0.45,0.18,3.75297077578916e-11
0.0,0.45,0.27,3.75914755506894e-11
0.0,0.45,0.36,3.76505152473913e-11
0.0,0.45,0.45,3.7706569798682e-11
0.0,0.45,0.54,3.77599514234949e-11
0.0,0.45,0.63,3.78111409948605e-11
0.0,0.45,0.72,3.78602375299453e-11
0.0,0.45,0.81,3.79070809323909e-11
0.0,0.45,0.9,3.79515032274422e-11
0.0,0.45,0.99,3.79935780876742e-11
0.0,0.45,1.08,3.80335723683497e-11
0.0,0.45,1.17,3.80718562292313e-11
0.0,0.45,1.26,3.8108911269173e-11
0.0,0.45,1.35,3.81451183578558e-11
0.0,0.45,1.44,3.81806532981108e-11
0.0,0.45,1.53,3.8215554476881e-11
0.0,0.45,1.62,3.82497821885071e-11
0.0,0.45,1.71,3.82833065093065e-11
0.0,0.45,1.8,3.83161732054393e-11
